,date,map,o_player1,o_player1_agent,o_player2,o_player2_agent,o_player3,o_player3_agent,o_player4,o_player4_agent,o_player5,o_player5_agent,o_team,player1,player1_agent,player2,player2_agent,player3,player3_agent,player4,player4_agent,player5,player5_agent,result,team
3990,26-02-21,Split,NiSMO,raze,chase,sage,wippie,omen,dazzLe,breach,payen,killjoy,GHOST,Relyks,raze,leaf,omen,vice,killjoy,mitch,breach,poiz,jett,Win,C9
3991,26-02-21,Split,Rustun,killjoy,Kanpeki,jett,HIA,raze,figment,sage,Trill,omen,SUP,Subroza,omen,hazed,killjoy,WARDELL,jett,Drone,raze,reltuC,skye,Win,TSM
3992,26-02-21,Ascent,Trill,omen,HIA,phoenix,figment,sova,Rustun,killjoy,Kanpeki,jett,SUP,Subroza,omen,WARDELL,jett,hazed,killjoy,Drone,phoenix,reltuC,sova,Win,TSM
3993,26-02-21,Haven,xCeeD,phoenix,XXiF,cypher,dawn,jett,dsr,sova,FugLy,omen,PK,pwny,jett,intox,phoenix,Stealthy,omen,Kurtis,raze,gmanchew,sova,Lose,DT
3994,26-02-21,Ascent,dsr,sova,xCeeD,phoenix,dawn,jett,XXiF,cypher,FugLy,omen,PK,pwny,jett,gmanchew,sova,intox,reyna,Kurtis,raze,Stealthy,omen,Win,DT
3995,26-02-21,Split,dawn,jett,xCeeD,breach,XXiF,raze,FugLy,omen,dsr,cypher,PK,pwny,jett,Kurtis,raze,Stealthy,omen,intox,sage,gmanchew,skye,Win,DT
3996,26-02-21,Ascent,ScrewFace,jett,Andersin,omen,Ange,reyna,Harmon,sova,d1msumboi,killjoy,KK,insky,omen,Pr0phie,sova,roca,reyna,Boostio,phoenix,sSef,cypher,Lose,SSG
3997,26-02-21,Icebox,Andersin,omen,ScrewFace,jett,Ange,reyna,d1msumboi,killjoy,Harmon,sova,KK,roca,reyna,insky,omen,Boostio,jett,Pr0phie,sova,sSef,sage,Lose,SSG
3998,26-02-21,Haven,Temperature,cypher,clawdia,omen,potter,sova,ALEKSANDAR,phoenix,Osias,jett,EG,RetrQ,sage,randyySAVAGE,killjoy,Winsum,raze,cp2,omen,Stronglegs,skye,Win,RNG
3999,26-02-21,Ascent,ALEKSANDAR,reyna,Osias,jett,Temperature,sova,potter,killjoy,clawdia,omen,EG,randyySAVAGE,killjoy,Winsum,raze,cp2,sage,Stronglegs,skye,RetrQ,brimstone,Win,RNG
4000,26-02-21,Haven,Neon,jett,cheatcode,reyna,Xyph9r,killjoy,Complex,omen,SugoiTkapp,sova,SPL,NiSMO,raze,dazzLe,sova,wippie,omen,chase,phoenix,payen,cypher,Lose,GHOST
4001,26-02-21,Ascent,cheatcode,reyna,Complex,omen,SugoiTkapp,sova,Xyph9r,killjoy,Neon,jett,SPL,chase,phoenix,payen,cypher,wippie,omen,dazzLe,sova,NiSMO,raze,Win,GHOST
