,round,Fnatic,KRÜ Esports
0,1,0,4
1,2,0,4
2,3,4,0
3,4,3,0
4,5,3,0
5,6,4,0
6,7,3,0
7,8,3,0
8,9,4,0
9,10,3,0
10,11,3,0
11,12,3,0
12,13,0,3
13,14,0,3
14,15,1,0
15,16,2,0
16,17,1,0
