,round,winningTeamRound,losingTeamRound,date,map,event,winner,loser
0,1,0,3,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
1,2,0,3,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
2,3,1,0,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
3,4,1,0,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
4,5,2,0,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
5,6,2,0,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
6,7,2,0,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
7,8,0,3,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
8,9,1,0,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
9,10,1,0,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
10,11,2,0,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
11,12,1,0,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
12,13,0,3,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
13,14,0,3,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
14,15,0,3,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
15,16,0,4,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
16,17,0,4,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
17,18,3,0,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
18,19,4,0,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
19,20,0,3,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
20,21,0,3,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
21,22,0,3,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
22,23,0,4,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
23,24,3,0,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
24,25,0,3,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
25,26,0,3,07-12-21,Haven,VALORANT Champions,Envy,X10 CRIT
